participant,item_no,condition,chance_slider.response,severity_slider.response,literacy,data_mean
22,4,lo,3,2,4.6,36
22,2,lo,3,3,4.6,30
22,7,hi,3,3,4.6,37
22,31,hi,3,7,4.6,35
22,21,lo,5,6,4.6,67
22,17,hi,5,6,4.6,71
22,23,lo,5,4,4.6,70
22,9,hi,5,5,4.6,66
22,14,hi,3,6,4.6,41
22,31,lo,2,7,4.6,35
22,35,hi,3,5,4.6,37
22,17,lo,5,6,4.6,71
22,23,hi,5,3,4.6,70
22,1,hi,2,4,4.6,28
22,15,hi,5,7,4.6,65
22,32,lo,3,6,4.6,31
22,4,hi,3,2,4.6,36
22,22,lo,5,7,4.6,64
22,2,hi,2,4,4.6,30
22,3,lo,3,7,4.6,39
22,28,lo,5,3,4.6,68
22,11,lo,2,4,4.6,29
22,20,hi,3,6,4.6,43
22,8,hi,2,6,4.6,33
22,21,hi,5,6,4.6,67
22,9,lo,5,5,4.6,66
22,7,lo,2,3,4.6,37
22,24,lo,3,6,4.6,42
23,23,lo,6,3,4.6,70
23,7,hi,3,4,4.6,37
23,28,hi,5,6,4.6,68
23,24,hi,5,7,4.6,42
23,1,lo,2,4,4.6,28
23,3,hi,4,6,4.6,39
23,14,lo,3,5,4.6,41
23,32,hi,3,7,4.6,31
23,20,lo,4,7,4.6,43
23,22,hi,5,7,4.6,64
23,21,lo,5,6,4.6,67
23,17,hi,6,7,4.6,71
23,4,lo,3,1,4.6,36
23,2,lo,2,7,4.6,30
23,31,hi,3,1,4.6,35
23,35,lo,3,7,4.6,37
23,8,lo,2,6,4.6,33
23,15,lo,5,7,4.6,65
23,11,hi,3,6,4.6,29
23,9,hi,4,6,4.6,66
23,32,lo,2,7,4.6,31
23,14,hi,3,6,4.6,41
23,4,hi,2,1,4.6,36
23,23,hi,6,6,4.6,70
23,3,lo,3,5,4.6,39
23,22,lo,5,7,4.6,64
23,31,lo,3,7,4.6,35
23,28,lo,6,6,4.6,68
23,15,hi,5,7,4.6,65
23,11,lo,2,5,4.6,29
23,17,lo,6,7,4.6,71
23,20,hi,3,7,4.6,43
23,35,hi,3,7,4.6,37
23,9,lo,5,5,4.6,66
23,7,lo,2,4,4.6,37
23,24,lo,3,7,4.6,42
23,21,hi,5,7,4.6,67
23,8,hi,2,6,4.6,33
23,1,hi,2,4,4.6,28
23,2,hi,2,7,4.6,30
24,35,lo,4,5,6,37
24,1,lo,3,3,6,28
24,22,hi,5,3,6,64
24,20,lo,4,6,6,43
24,31,hi,3,2,6,35
24,4,lo,3,4,6,36
24,14,lo,4,4,6,41
24,28,hi,5,6,6,68
24,17,hi,5,6,6,71
24,7,hi,3,4,6,37
24,21,lo,5,4,6,67
24,8,lo,3,4,6,33
24,23,lo,5,4,6,70
24,11,hi,3,4,6,29
24,3,hi,3,5,6,39
24,24,hi,4,6,6,42
24,9,hi,5,5,6,66
24,32,hi,3,4,6,31
24,15,lo,5,6,6,65
24,2,lo,3,6,6,30
24,11,lo,3,4,6,29
24,23,hi,5,4,6,70
24,7,lo,3,3,6,37
24,3,lo,3,4,6,39
24,28,lo,5,6,6,68
24,2,hi,3,6,6,30
24,20,hi,3,6,6,43
24,22,lo,5,5,6,64
24,35,hi,3,4,6,37
24,1,hi,3,4,6,28
24,31,lo,3,2,6,35
24,8,hi,3,4,6,33
24,21,hi,5,5,6,67
24,9,lo,5,5,6,66
24,24,lo,4,6,6,42
24,17,lo,5,6,6,71
24,14,hi,4,5,6,41
24,15,hi,5,6,6,65
24,4,hi,3,4,6,36
24,32,lo,3,4,6,31
25,8,lo,3,3,5,33
25,21,lo,5,4,5,67
25,14,lo,3,5,5,41
25,2,lo,2,3,5,30
25,23,lo,5,3,5,70
25,22,hi,5,2,5,64
25,3,hi,3,5,5,39
25,24,hi,4,4,5,42
25,15,lo,5,5,5,65
25,7,hi,3,4,5,37
25,20,lo,3,4,5,43
25,4,lo,3,3,5,36
25,32,hi,3,6,5,31
25,17,hi,6,7,5,71
25,35,lo,3,6,5,37
25,9,hi,5,6,5,66
25,31,hi,3,2,5,35
25,28,hi,5,5,5,68
25,1,lo,3,6,5,28
25,11,hi,3,6,5,29
25,32,lo,3,7,5,31
25,1,hi,3,7,5,28
25,7,lo,3,4,5,37
25,24,lo,3,6,5,42
25,22,lo,5,3,5,64
25,31,lo,3,1,5,35
25,14,hi,3,6,5,41
25,17,lo,5,7,5,71
25,8,hi,3,4,5,33
25,35,hi,3,6,5,37
25,11,lo,3,7,5,29
25,4,hi,3,3,5,36
25,23,hi,5,2,5,70
25,28,lo,5,6,5,68
25,20,hi,3,6,5,43
25,9,lo,5,5,5,66
25,15,hi,5,6,5,65
25,2,hi,3,3,5,30
25,21,hi,5,4,5,67
25,3,lo,3,4,5,39
26,21,lo,5,6,5,67
26,32,hi,2,2,5,31
26,7,hi,2,4,5,37
26,24,hi,2,4,5,42
26,17,hi,6,6,5,71
26,35,lo,2,3,5,37
26,28,hi,5,6,5,68
26,15,lo,5,2,5,65
26,20,lo,3,2,5,43
26,3,hi,3,6,5,39
26,11,hi,2,6,5,29
26,2,lo,2,2,5,30
26,1,lo,2,2,5,28
26,9,hi,5,6,5,66
26,4,lo,2,3,5,36
26,22,hi,5,6,5,64
26,31,hi,2,6,5,35
26,8,lo,3,2,5,33
26,14,lo,3,2,5,41
26,23,lo,6,2,5,70
26,17,lo,6,2,5,71
26,24,lo,3,2,5,42
26,32,lo,2,2,5,31
26,35,hi,3,6,5,37
26,15,hi,5,6,5,65
26,22,lo,5,2,5,64
26,21,hi,5,6,5,67
26,14,hi,3,6,5,41
26,23,hi,6,6,5,70
26,20,hi,3,6,5,43
26,9,lo,5,2,5,66
26,11,lo,3,2,5,29
26,31,lo,3,2,5,35
26,1,hi,2,6,5,28
26,4,hi,2,6,5,36
26,3,lo,3,2,5,39
26,2,hi,2,6,5,30
26,28,lo,6,2,5,68
26,7,lo,3,2,5,37
26,8,hi,2,6,5,33
27,15,lo,6,7,5.8,65
27,17,hi,7,7,5.8,71
27,9,hi,5,5,5.8,66
27,21,lo,6,7,5.8,67
27,35,lo,3,4,5.8,37
27,1,lo,2,4,5.8,28
27,23,lo,5,3,5.8,70
27,31,hi,3,7,5.8,35
27,22,hi,5,4,5.8,64
27,8,lo,3,3,5.8,33
27,24,hi,4,3,5.8,42
27,2,lo,3,5,5.8,30
27,14,lo,3,6,5.8,41
27,3,hi,4,5,5.8,39
27,11,hi,3,5,5.8,29
27,7,hi,4,4,5.8,37
27,20,lo,4,6,5.8,43
27,28,hi,5,3,5.8,68
27,4,lo,4,3,5.8,36
27,32,hi,3,6,5.8,31
27,35,hi,4,6,5.8,37
27,23,hi,5,3,5.8,70
27,8,hi,3,4,5.8,33
27,2,hi,3,6,5.8,30
27,32,lo,3,6,5.8,31
27,1,hi,3,4,5.8,28
27,28,lo,5,3,5.8,68
27,22,lo,5,5,5.8,64
27,21,hi,5,4,5.8,67
27,24,lo,4,4,5.8,42
27,20,hi,4,7,5.8,43
27,3,lo,3,5,5.8,39
27,7,lo,3,4,5.8,37
27,4,hi,3,4,5.8,36
27,15,hi,5,5,5.8,65
27,11,lo,3,5,5.8,29
27,9,lo,5,4,5.8,66
27,14,hi,3,5,5.8,41
27,31,lo,3,6,5.8,35
27,17,lo,6,6,5.8,71
28,32,hi,3,3,4.6,31
28,14,lo,4,3,4.6,41
28,2,lo,3,5,4.6,30
28,35,lo,3,6,4.6,37
28,20,lo,4,5,4.6,43
28,11,hi,3,4,4.6,29
28,22,hi,5,6,4.6,64
28,8,lo,3,4,4.6,33
28,7,hi,3,1,4.6,37
28,31,hi,3,7,4.6,35
28,21,lo,5,3,4.6,67
28,24,hi,4,5,4.6,42
28,3,hi,3,4,4.6,39
28,17,hi,5,5,4.6,71
28,23,lo,5,3,4.6,70
28,9,hi,5,1,4.6,66
28,4,lo,3,1,4.6,36
28,15,lo,5,6,4.6,65
28,28,hi,5,2,4.6,68
28,1,lo,3,2,4.6,28
28,23,hi,5,3,4.6,70
28,20,hi,3,6,4.6,43
28,1,hi,3,2,4.6,28
28,11,lo,3,4,4.6,29
28,7,lo,3,1,4.6,37
28,9,lo,5,2,4.6,66
28,22,lo,5,6,4.6,64
28,17,lo,5,6,4.6,71
28,32,lo,3,4,4.6,31
28,21,hi,5,4,4.6,67
28,15,hi,5,6,4.6,65
28,8,hi,3,4,4.6,33
28,28,lo,5,3,4.6,68
28,24,lo,4,5,4.6,42
28,35,hi,3,6,4.6,37
28,14,hi,4,2,4.6,41
28,3,lo,3,3,4.6,39
28,4,hi,3,2,4.6,36
28,2,hi,3,6,4.6,30
28,31,lo,3,6,4.6,35
29,32,hi,3,5,4.6,31
29,31,hi,3,7,4.6,35
29,28,hi,6,5,4.6,68
29,20,lo,3,5,4.6,43
29,4,lo,3,4,4.6,36
29,7,hi,3,3,4.6,37
29,2,lo,3,6,4.6,30
29,14,lo,4,6,4.6,41
29,21,lo,5,5,4.6,67
29,17,hi,5,6,4.6,71
29,24,hi,4,6,4.6,42
29,8,lo,3,4,4.6,33
29,22,hi,5,6,4.6,64
29,15,lo,5,4,4.6,65
29,3,hi,3,6,4.6,39
29,1,lo,2,4,4.6,28
29,23,lo,5,5,4.6,70
29,11,hi,3,5,4.6,29
29,35,lo,3,6,4.6,37
29,9,hi,5,5,4.6,66
29,4,hi,3,4,4.6,36
29,9,lo,5,5,4.6,66
29,28,lo,5,5,4.6,68
29,35,hi,3,6,4.6,37
29,8,hi,3,4,4.6,33
29,24,lo,3,6,4.6,42
29,3,lo,3,6,4.6,39
29,17,lo,5,6,4.6,71
29,1,hi,2,3,4.6,28
29,11,lo,2,5,4.6,29
29,20,hi,3,5,4.6,43
29,14,hi,3,6,4.6,41
29,7,lo,3,4,4.6,37
29,22,lo,5,6,4.6,64
29,23,hi,5,5,4.6,70
29,32,lo,2,5,4.6,31
29,2,hi,3,6,4.6,30
29,31,lo,3,6,4.6,35
29,15,hi,5,5,4.6,65
29,21,hi,5,6,4.6,67
30,21,lo,6,7,4.2,67
30,32,hi,5,6,4.2,31
30,14,lo,5,6,4.2,41
30,22,hi,6,7,4.2,64
30,7,hi,4,6,4.2,37
30,24,hi,5,7,4.2,42
30,11,hi,2,7,4.2,29
30,20,lo,5,7,4.2,43
30,2,lo,4,6,4.2,30
30,3,hi,4,7,4.2,39
30,9,hi,6,7,4.2,66
30,17,hi,6,7,4.2,71
30,8,lo,3,6,4.2,33
30,31,hi,5,7,4.2,35
30,4,lo,5,6,4.2,36
30,15,lo,6,7,4.2,65
30,28,hi,6,7,4.2,68
30,23,lo,6,6,4.2,70
30,1,lo,3,6,4.2,28
30,35,lo,5,6,4.2,37
30,9,lo,6,6,4.2,66
30,31,lo,4,7,4.2,35
30,8,hi,4,7,4.2,33
30,7,lo,5,7,4.2,37
30,14,hi,6,6,4.2,41
30,15,hi,6,7,4.2,65
30,22,lo,6,7,4.2,64
30,23,hi,6,6,4.2,70
30,24,lo,5,7,4.2,42
30,17,lo,6,7,4.2,71
30,32,lo,4,6,4.2,31
30,20,hi,5,7,4.2,43
30,4,hi,5,6,4.2,36
30,21,hi,6,7,4.2,67
30,11,lo,2,7,4.2,29
30,35,hi,5,6,4.2,37
30,1,hi,3,5,4.2,28
30,3,lo,5,6,4.2,39
30,28,lo,6,7,4.2,68
30,2,hi,4,6,4.2,30
31,4,lo,3,1,6,36
31,23,lo,7,7,6,70
31,1,lo,4,6,6,28
31,2,lo,4,6,6,30
31,9,hi,6,2,6,66
31,7,hi,4,2,6,37
31,3,hi,4,6,6,39
31,11,hi,3,6,6,29
31,17,hi,7,7,6,71
31,32,hi,3,5,6,31
31,21,lo,5,7,6,67
31,15,lo,7,7,6,65
31,8,lo,3,2,6,33
31,20,lo,6,7,6,43
31,35,lo,4,7,6,37
31,28,hi,6,3,6,68
31,24,hi,5,2,6,42
31,31,hi,5,7,6,35
31,14,lo,4,2,6,41
31,22,hi,5,7,6,64
31,28,lo,5,2,6,68
31,11,lo,2,3,6,29
31,2,hi,2,6,6,30
31,9,lo,5,2,6,66
31,23,hi,6,6,6,70
31,32,lo,2,5,6,31
31,21,hi,6,6,6,67
31,24,lo,4,2,6,42
31,4,hi,3,1,6,36
31,14,hi,2,4,6,41
31,31,lo,3,7,6,35
31,20,hi,4,7,6,43
31,7,lo,3,2,6,37
31,1,hi,3,2,6,28
31,8,hi,3,2,6,33
31,15,hi,6,7,6,65
31,17,lo,7,7,6,71
31,35,hi,3,7,6,37
31,22,lo,5,6,6,64
31,3,lo,3,6,6,39
32,23,lo,6,5,4,70
32,9,hi,7,5,4,66
32,17,hi,7,7,4,71
32,8,lo,3,7,4,33
32,7,hi,3,5,4,37
32,20,lo,3,6,4,43
32,31,hi,4,7,4,35
32,11,hi,3,6,4,29
32,3,hi,3,6,4,39
32,4,lo,3,3,4,36
32,28,hi,6,5,4,68
32,35,lo,3,6,4,37
32,21,lo,6,7,4,67
32,14,lo,4,6,4,41
32,2,lo,3,6,4,30
32,22,hi,6,7,4,64
32,1,lo,3,4,4,28
32,15,lo,5,5,4,65
32,24,hi,4,6,4,42
32,32,hi,3,6,4,31
32,23,hi,6,5,4,70
32,9,lo,6,4,4,66
32,35,hi,4,6,4,37
32,22,lo,6,7,4,64
32,11,lo,3,5,4,29
32,1,hi,3,5,4,28
32,14,hi,4,5,4,41
32,2,hi,3,6,4,30
32,28,lo,5,5,4,68
32,3,lo,3,5,4,39
32,17,lo,6,7,4,71
32,20,hi,4,6,4,43
32,7,lo,3,5,4,37
32,15,hi,6,6,4,65
32,8,hi,3,5,4,33
32,4,hi,3,3,4,36
32,31,lo,3,7,4,35
32,21,hi,6,7,4,67
32,24,lo,4,5,4,42
32,32,lo,3,6,4,31
33,21,lo,6,6,3.8,67
33,24,hi,5,7,3.8,42
33,15,lo,6,6,3.8,65
33,23,lo,7,2,3.8,70
33,8,lo,2,2,3.8,33
33,14,lo,3,5,3.8,41
33,20,lo,4,7,3.8,43
33,11,hi,2,6,3.8,29
33,31,hi,3,7,3.8,35
33,2,lo,2,6,3.8,30
33,3,hi,3,6,3.8,39
33,28,hi,6,4,3.8,68
33,17,hi,6,6,3.8,71
33,1,lo,2,1,3.8,28
33,4,lo,2,1,3.8,36
33,35,lo,3,7,3.8,37
33,32,hi,3,6,3.8,31
33,7,hi,2,2,3.8,37
33,22,hi,6,7,3.8,64
33,9,hi,6,6,3.8,66
33,24,lo,4,6,3.8,42
33,11,lo,2,6,3.8,29
33,8,hi,3,2,3.8,33
33,22,lo,5,7,3.8,64
33,32,lo,2,5,3.8,31
33,23,hi,6,2,3.8,70
33,3,lo,3,6,3.8,39
33,7,lo,3,1,3.8,37
33,21,hi,6,7,3.8,67
33,15,hi,6,6,3.8,65
33,20,hi,4,7,3.8,43
33,31,lo,3,7,3.8,35
33,35,hi,3,6,3.8,37
33,1,hi,2,1,3.8,28
33,28,lo,6,1,3.8,68
33,4,hi,3,1,3.8,36
33,2,hi,2,3,3.8,30
33,14,hi,3,6,3.8,41
33,9,lo,6,5,3.8,66
33,17,lo,6,5,3.8,71
34,2,lo,3,6,4,30
34,1,lo,3,4,4,28
34,21,lo,5,3,4,67
34,24,hi,4,7,4,42
34,9,hi,5,6,4,66
34,20,lo,4,7,4,43
34,15,lo,5,7,4,65
34,32,hi,3,6,4,31
34,11,hi,2,5,4,29
34,31,hi,3,2,4,35
34,17,hi,6,6,4,71
34,3,hi,3,5,4,39
34,8,lo,3,6,4,33
34,28,hi,5,1,4,68
34,23,lo,5,4,4,70
34,4,lo,3,5,4,36
34,22,hi,5,5,4,64
34,35,lo,3,7,4,37
34,7,hi,3,3,4,37
34,14,lo,3,6,4,41
34,14,hi,3,5,4,41
34,2,hi,2,5,4,30
34,11,lo,2,5,4,29
34,24,lo,3,7,4,42
34,22,lo,5,5,4,64
34,32,lo,3,7,4,31
34,23,hi,5,5,4,70
34,8,hi,3,7,4,33
34,3,lo,3,3,4,39
34,9,lo,5,6,4,66
34,35,hi,3,7,4,37
34,7,lo,3,4,4,37
34,20,hi,3,6,4,43
34,4,hi,3,4,4,36
34,15,hi,5,7,4,65
34,17,lo,5,7,4,71
34,1,hi,2,4,4,28
34,31,lo,3,4,4,35
34,28,lo,5,1,4,68
34,21,hi,5,5,4,67
35,32,hi,3,6,5,31
35,9,hi,4,5,5,66
35,8,lo,3,5,5,33
35,11,hi,3,6,5,29
35,14,lo,3,7,5,41
35,4,lo,3,4,5,36
35,35,lo,3,6,5,37
35,28,hi,6,6,5,68
35,15,lo,5,5,5,65
35,31,hi,3,7,5,35
35,24,hi,3,6,5,42
35,22,hi,5,4,5,64
35,21,lo,5,4,5,67
35,7,hi,3,5,5,37
35,17,hi,5,7,5,71
35,20,lo,3,7,5,43
35,23,lo,5,6,5,70
35,2,lo,2,6,5,30
35,3,hi,3,4,5,39
35,1,lo,2,5,5,28
35,23,hi,5,6,5,70
35,20,hi,3,7,5,43
35,3,lo,3,5,5,39
35,17,lo,5,7,5,71
35,32,lo,2,7,5,31
35,24,lo,3,6,5,42
35,2,hi,2,7,5,30
35,21,hi,5,5,5,67
35,22,lo,5,5,5,64
35,7,lo,3,4,5,37
35,1,hi,2,5,5,28
35,28,lo,5,6,5,68
35,4,hi,3,4,5,36
35,11,lo,2,6,5,29
35,9,lo,5,5,5,66
35,15,hi,5,6,5,65
35,35,hi,3,7,5,37
35,14,hi,3,5,5,41
35,8,hi,2,5,5,33
35,31,lo,3,7,5,35
36,35,lo,3,4,4.2,37
36,15,lo,4,5,4.2,65
36,7,hi,3,1,4.2,37
36,28,hi,5,4,4.2,68
36,9,hi,4,2,4.2,66
36,23,lo,5,1,4.2,70
36,3,hi,3,2,4.2,39
36,14,lo,4,4,4.2,41
36,22,hi,5,5,4.2,64
36,24,hi,4,5,4.2,42
36,8,lo,3,7,4.2,33
36,32,hi,3,6,4.2,31
36,1,lo,3,1,4.2,28
36,17,hi,5,7,4.2,71
36,4,lo,3,1,4.2,36
36,11,hi,2,3,4.2,29
36,21,lo,4,5,4.2,67
36,31,hi,3,1,4.2,35
36,2,lo,3,4,4.2,30
36,20,lo,3,6,4.2,43
36,17,lo,5,7,4.2,71
36,1,hi,2,1,4.2,28
36,7,lo,3,1,4.2,37
36,20,hi,3,6,4.2,43
36,9,lo,4,2,4.2,66
36,8,hi,3,7,4.2,33
36,3,lo,3,3,4.2,39
36,11,lo,2,5,4.2,29
36,31,lo,3,7,4.2,35
36,22,lo,4,4,4.2,64
36,32,lo,3,5,4.2,31
36,23,hi,5,2,4.2,70
36,4,hi,3,1,4.2,36
36,2,hi,3,5,4.2,30
36,15,hi,4,6,4.2,65
36,21,hi,5,6,4.2,67
36,24,lo,3,7,4.2,42
36,28,lo,5,3,4.2,68
36,35,hi,3,5,4.2,37
36,14,hi,4,6,4.2,41
37,1,lo,3,4,4,28
37,20,lo,4,6,4,43
37,32,hi,3,6,4,31
37,17,hi,6,6,4,71
37,3,hi,3,6,4,39
37,2,lo,3,7,4,30
37,9,hi,5,3,4,66
37,21,lo,5,7,4,67
37,4,lo,3,6,4,36
37,28,hi,5,6,4,68
37,23,lo,5,4,4,70
37,22,hi,5,6,4,64
37,31,hi,3,5,4,35
37,8,lo,3,4,4,33
37,35,lo,3,6,4,37
37,15,lo,5,5,4,65
37,7,hi,3,6,4,37
37,24,hi,3,2,4,42
37,14,lo,3,6,4,41
37,11,hi,3,5,4,29
37,9,lo,5,3,4,66
37,1,hi,3,5,4,28
37,21,hi,5,6,4,67
37,3,lo,3,5,4,39
37,7,lo,3,5,4,37
37,35,hi,3,6,4,37
37,11,lo,3,5,4,29
37,31,lo,3,6,4,35
37,24,lo,3,3,4,42
37,23,hi,5,5,4,70
37,17,lo,5,6,4,71
37,14,hi,3,6,4,41
37,22,lo,5,6,4,64
37,15,hi,5,5,4,65
37,32,lo,3,6,4,31
37,4,hi,3,6,4,36
37,28,lo,5,6,4,68
37,20,hi,3,6,4,43
37,8,hi,3,4,4,33
37,2,hi,3,7,4,30
38,21,lo,5,5,2.4,67
38,3,hi,3,3,2.4,39
38,23,lo,5,5,2.4,70
38,35,lo,3,6,2.4,37
38,22,hi,5,6,2.4,64
38,31,hi,3,4,2.4,35
38,15,lo,4,7,2.4,65
38,7,hi,3,2,2.4,37
38,14,lo,3,5,2.4,41
38,20,lo,3,7,2.4,43
38,8,lo,3,6,2.4,33
38,28,hi,5,5,2.4,68
38,11,hi,2,7,2.4,29
38,1,lo,2,2,2.4,28
38,32,hi,3,6,2.4,31
38,2,lo,3,4,2.4,30
38,24,hi,3,6,2.4,42
38,4,lo,3,4,2.4,36
38,17,hi,6,7,2.4,71
38,9,hi,5,5,2.4,66
38,8,hi,3,5,2.4,33
38,23,hi,5,4,2.4,70
38,14,hi,3,5,2.4,41
38,9,lo,5,4,2.4,66
38,2,hi,3,4,2.4,30
38,20,hi,3,6,2.4,43
38,31,lo,3,4,2.4,35
38,21,hi,5,5,2.4,67
38,17,lo,5,7,2.4,71
38,28,lo,5,5,2.4,68
38,3,lo,3,2,2.4,39
38,15,hi,5,7,2.4,65
38,1,hi,2,3,2.4,28
38,7,lo,3,3,2.4,37
38,22,lo,5,6,2.4,64
38,4,hi,3,2,2.4,36
38,32,lo,3,7,2.4,31
38,35,hi,3,6,2.4,37
38,11,lo,2,6,2.4,29
38,24,lo,3,6,2.4,42
39,21,lo,5,6,5,67
39,32,hi,3,6,5,31
39,4,lo,3,1,5,36
39,23,lo,6,4,5,70
39,17,hi,6,7,5,71
39,14,lo,4,6,5,41
39,31,hi,3,6,5,35
39,8,lo,3,6,5,33
39,9,hi,6,3,5,66
39,22,hi,5,6,5,64
39,7,hi,3,2,5,37
39,24,hi,4,5,5,42
39,35,lo,3,6,5,37
39,11,hi,3,3,5,29
39,28,hi,5,3,5,68
39,3,hi,3,5,5,39
39,15,lo,6,5,5,65
39,20,lo,4,6,5,43
39,1,lo,3,3,5,28
39,2,lo,3,7,5,30
39,24,lo,4,5,5,42
39,17,lo,6,4,5,71
39,2,hi,3,7,5,30
39,9,lo,6,2,5,66
39,20,hi,4,5,5,43
39,21,hi,6,4,5,67
39,32,lo,3,5,5,31
39,1,hi,3,2,5,28
39,35,hi,3,6,5,37
39,28,lo,6,3,5,68
39,23,hi,6,2,5,70
39,7,lo,3,2,5,37
39,4,hi,3,1,5,36
39,15,hi,5,5,5,65
39,3,lo,3,5,5,39
39,31,lo,3,6,5,35
39,8,hi,3,5,5,33
39,11,lo,3,2,5,29
39,22,lo,6,5,5,64
39,14,hi,3,6,5,41
40,23,lo,6,6,4,70
40,9,hi,5,5,4,66
40,32,hi,3,6,4,31
40,11,hi,3,6,4,29
40,35,lo,3,7,4,37
40,31,hi,3,6,4,35
40,24,hi,3,6,4,42
40,28,hi,5,5,4,68
40,3,hi,3,4,4,39
40,14,lo,3,6,4,41
40,8,lo,3,6,4,33
40,2,lo,3,6,4,30
40,21,lo,5,6,4,67
40,20,lo,3,7,4,43
40,22,hi,5,6,4,64
40,1,lo,3,5,4,28
40,7,hi,3,4,4,37
40,17,hi,5,7,4,71
40,4,lo,3,3,4,36
40,15,lo,5,7,4,65
40,32,lo,3,6,4,31
40,14,hi,3,5,4,41
40,22,lo,5,5,4,64
40,28,lo,5,5,4,68
40,17,lo,5,7,4,71
40,2,hi,3,5,4,30
40,35,hi,3,7,4,37
40,23,hi,5,5,4,70
40,24,lo,3,5,4,42
40,3,lo,3,4,4,39
40,11,lo,3,6,4,29
40,4,hi,3,3,4,36
40,15,hi,5,7,4,65
40,1,hi,3,4,4,28
40,20,hi,3,7,4,43
40,31,lo,3,5,4,35
40,7,lo,3,3,4,37
40,8,hi,3,5,4,33
40,21,hi,5,6,4,67
40,9,lo,5,4,4,66
41,20,lo,4,6,3.4,43
41,31,hi,5,7,3.4,35
41,1,lo,2,5,3.4,28
41,17,hi,6,7,3.4,71
41,8,lo,3,5,3.4,33
41,4,lo,2,5,3.4,36
41,15,lo,5,6,3.4,65
41,9,hi,5,7,3.4,66
41,2,lo,2,7,3.4,30
41,11,hi,2,7,3.4,29
41,22,hi,6,7,3.4,64
41,14,lo,4,6,3.4,41
41,7,hi,3,5,3.4,37
41,32,hi,3,6,3.4,31
41,3,hi,3,6,3.4,39
41,24,hi,4,5,3.4,42
41,23,lo,5,5,3.4,70
41,28,hi,5,5,3.4,68
41,21,lo,5,6,3.4,67
41,35,lo,3,7,3.4,37
41,28,lo,5,5,3.4,68
41,9,lo,5,6,3.4,66
41,8,hi,3,5,3.4,33
41,24,lo,3,5,3.4,42
41,31,lo,3,6,3.4,35
41,15,hi,5,6,3.4,65
41,7,lo,3,5,3.4,37
41,17,lo,5,7,3.4,71
41,4,hi,3,5,3.4,36
41,35,hi,3,7,3.4,37
41,14,hi,3,6,3.4,41
41,11,lo,3,7,3.4,29
41,21,hi,5,5,3.4,67
41,23,hi,5,5,3.4,70
41,2,hi,3,6,3.4,30
41,22,lo,5,6,3.4,64
41,1,hi,3,4,3.4,28
41,20,hi,4,6,3.4,43
41,3,lo,3,5,3.4,39
41,32,lo,3,6,3.4,31
42,14,lo,4,7,5,41
42,15,lo,5,7,5,65
42,9,hi,5,3,5,66
42,1,lo,3,6,5,28
42,3,hi,3,6,5,39
42,28,hi,5,6,5,68
42,2,lo,3,7,5,30
42,20,lo,3,7,5,43
42,22,hi,5,6,5,64
42,21,lo,6,6,5,67
42,4,lo,3,2,5,36
42,7,hi,3,2,5,37
42,35,lo,3,7,5,37
42,32,hi,3,6,5,31
42,24,hi,4,6,5,42
42,23,lo,5,4,5,70
42,31,hi,3,7,5,35
42,8,lo,3,5,5,33
42,17,hi,6,7,5,71
42,11,hi,3,4,5,29
42,31,lo,3,7,5,35
42,14,hi,4,7,5,41
42,15,hi,5,7,5,65
42,11,lo,3,4,5,29
42,23,hi,6,4,5,70
42,28,lo,6,7,5,68
42,22,lo,5,6,5,64
42,7,lo,3,3,5,37
42,8,hi,3,4,5,33
42,35,hi,3,7,5,37
42,3,lo,3,5,5,39
42,1,hi,3,4,5,28
42,32,lo,3,6,5,31
42,20,hi,3,7,5,43
42,17,lo,6,7,5,71
42,4,hi,3,3,5,36
42,9,lo,5,5,5,66
42,24,lo,3,5,5,42
42,21,hi,5,5,5,67
42,2,hi,3,6,5,30
43,1,lo,3,4,4.2,28
43,15,lo,5,7,4.2,65
43,14,lo,3,4,4.2,41
43,17,hi,6,7,4.2,71
43,2,lo,2,5,4.2,30
43,28,hi,5,4,4.2,68
43,21,lo,5,5,4.2,67
43,24,hi,5,6,4.2,42
43,23,lo,6,3,4.2,70
43,22,hi,5,5,4.2,64
43,9,hi,5,4,4.2,66
43,11,hi,2,5,4.2,29
43,20,lo,3,5,4.2,43
43,31,hi,3,7,4.2,35
43,35,lo,3,7,4.2,37
43,8,lo,3,5,4.2,33
43,3,hi,3,6,4.2,39
43,7,hi,2,4,4.2,37
43,4,lo,2,3,4.2,36
43,32,hi,2,6,4.2,31
43,7,lo,2,4,4.2,37
43,2,hi,2,5,4.2,30
43,20,hi,3,6,4.2,43
43,1,hi,2,4,4.2,28
43,32,lo,3,6,4.2,31
43,28,lo,5,4,4.2,68
43,31,lo,3,7,4.2,35
43,23,hi,6,4,4.2,70
43,4,hi,3,3,4.2,36
43,8,hi,2,5,4.2,33
43,14,hi,4,4,4.2,41
43,22,lo,5,6,4.2,64
43,21,hi,5,6,4.2,67
43,15,hi,5,7,4.2,65
43,3,lo,3,6,4.2,39
43,9,lo,5,6,4.2,66
43,11,lo,2,5,4.2,29
43,35,hi,3,7,4.2,37
43,17,lo,6,7,4.2,71
43,24,lo,3,6,4.2,42
44,9,hi,6,4,4.6,66
44,7,hi,5,7,4.6,37
44,22,hi,6,3,4.6,64
44,17,hi,7,7,4.6,71
44,24,hi,6,7,4.6,42
